"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04372602","Duvelisib to Combat COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Duvelisib|Procedure: Peripheral blood draw","Overall survival|Length of hospital stay|Length of ICU stay|Duration of ventilator use|Duration of vasopressors use|Duration on renal replacement therapy|Viral kinetics as measured by virologic failure|Number of adverse events as measured by CTCAE v. 5.0","Washington University School of Medicine|Verastem, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","25","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","04-28-20-DiPersio","June 30, 2020","July 31, 2021","December 31, 2021","May 4, 2020",,"May 4, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04372602"
2,"NCT04388436","Post Covid-19 Cardiopulmonary and Immunological Changes","covid-19","Active, not recruiting","No Results Available","COVID",,"measurement of pulmonary function changes either obstructive or restrictive also lung diffusion and if there is remaining interstitial fibrosis|measurement for cardiac function and ejection fraction changes and if there is changes in pulmonary artery pressure|assessment of IGM and IGG level and if there is immunological changes","Mansoura University","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20.05.67","May 11, 2020","July 10, 2021","October 10, 2021","May 14, 2020",,"May 19, 2020","Mansoura faculty of medicine, Mansoura, Dakahlia, Egypt",,"https://ClinicalTrials.gov/show/NCT04388436"
3,"NCT04364698","Observational Cohort of COVID-19 Patients at Raymond-Poincare","COVID-RPC","Recruiting","No Results Available","COVID-19",,"clinical, biological and radiological characteristics|patients' journey description|Treatments effects","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20SBS-COVID-RPC","May 7, 2020","June 2020","June 2020","April 28, 2020",,"May 14, 2020","Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France",,"https://ClinicalTrials.gov/show/NCT04364698"
4,"NCT04374838","Effect of COVID-19 Pandemic on Pediatric Cancer Care",,"Not yet recruiting","No Results Available","Covid19",,"pediatric cancer care pattern during COVID 19 pandemic","South Egypt Cancer Institute","All","Child, Adult, Older Adult",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","COVID-19 and Pediatric Cancer","May 15, 2020","December 15, 2020","May 15, 2021","May 5, 2020",,"May 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04374838"
5,"NCT04346446","Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients",,"Recruiting","No Results Available","COVID","Drug: Convalescent Plasma Transfusion|Other: Supportive Care|Drug: Random Donor Plasma","Proportion of patients remaining free of mechanical ventilation in both groups|Mortality in both groups|Improvement in Pa02/Fi02 ratio in both groups|Improvement in SOFA score in both groups|Duration of hospital Stay in both group.|Duration of Intensive Care Unit stay in both groups.|Requirements of Vasopressor in both groups.|Days free of dialysis in both groups.","Institute of Liver and Biliary Sciences, India","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ILBS-COVID-02","April 21, 2020","June 30, 2020","June 30, 2020","April 15, 2020",,"May 12, 2020","Maulana Azad medical College, New Delhi, Delhi, India|Institute of Liver and Biliary Sciences, New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04346446"
6,"NCT04343183","Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection",,"Not yet recruiting","No Results Available","COVID-19","Device: Hyperbaric Oxygen Therapy","Decrease incidence of intubation by 30% or greater|Decrease renal injury","Ochsner Health System","All","18 Years and older   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","STUDY00001051","April 2020","June 2020","June 2020","April 13, 2020",,"April 13, 2020","Ochsner Medical Center, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04343183"
7,"NCT04374513","Community Pharmacists Behaviour During Covid-19",,"Recruiting","No Results Available","Covid19",,"community pharmacists facing covid-19","Damanhour University","All","Child, Adult, Older Adult",,"50","Other","Observational","Observational Model: Other|Time Perspective: Prospective","Pharmacists and covid-19","May 2, 2020","October 1, 2020","April 2021","May 5, 2020",,"May 19, 2020","Damanhour university, Beheira, Damanhour, Egypt|Damanhour universty, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04374513"
8,"NCT04333550","Application of Desferal to Treat COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Deferoxamine","Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay","Kermanshah University of Medical Sciences","All","3 Years to 99 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","1398.1224","April 2020","September 2020","March 2021","April 3, 2020",,"May 4, 2020","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04333550"
9,"NCT04349371","Saved From COVID-19",,"Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Placebo oral tablet","Number of symptomatic illness in at risk healthcare workers|Number of healthcare workers with symptomatic COVID infections|Number of severe illness in at risk healthcare workers|Number of sero-conversions in at risk healthcare workers|Percentage of patients with adverse events Grade 3 or higher|Percentage of patients with GI intolerance","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9992","April 2020","April 2021","April 2021","April 16, 2020",,"April 21, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04349371"
10,"NCT04336904","Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19",,"Active, not recruiting","No Results Available","COVID-19","Drug: Favipiravir|Other: Placebo","Time from randomization to clinical recovery|Time from randomization to negativity in RT-PCR nucleic acid test|Incidence of deterioration/aggravation of pneumonia|Time from randomization to resolution of pyrexia|Time from randomization to relief of cough|Time from randomization to relief of dyspnoea|Rate of auxiliary oxygen therapy|ICU admission rate|Mortality","Giuliano Rizzardini|ASST Fatebenefratelli Sacco","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","HS216C17-PHASE III","March 25, 2020","July 2020","July 2020","April 7, 2020",,"April 8, 2020","Asst Fatebenefratelli Sacco, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04336904"
