Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Inclusion Criteria,Exclusion Criteria
17,NCT01376856,Characteristics of Mediastinal Lymph Node With False Positive FDG PET/CT Results in Lung Cancer Staging : Relation With TB and Latent TB Infection,,Terminated,No Results Available,Lung Cancer,,false positive rate of Mediastinal Lymph Node,Yonsei University,All,"20 Years to 75 Years 혻 (Adult, Older Adult)",,33,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Prospective,4-2011-0196,Jun.11,Nov.11,Nov.11,20.Jun.11,,4.Jun.13,"Severance Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01376856,"1. age 20-75, men and women
2. person who performed PET/CT and surgical biopsy of mediastinal lymph node for diagnosis of primary lung cancer of metastatic lung cancer","1. age < 20
2. person who don't agree with enrollment
3. illiterate
4. person who is diagnosed as active tuberculosis now
5. person who has history of hypersensitivity on PPD (tuberculin purified protein derivative)
6. pregnant woman
7. person who is treated as active tuberculosis"
19,NCT01310387,Prospective Study of Active Pain Management in Lung Cancer Outpatients (APM),APM,Completed,No Results Available,Lung Cancer,Behavioral: Active pain management,The percent of pain intensity difference|Patients' satisfaction score about pain management|Eastern Cooperative Oncology Group (ECOG) Performance score|Assessment of Korean Brief Pain Inventory score|Investigator's global assessment score,"Chonnam National University Hospital|Janssen Korea, Ltd., Korea",All,"20 Years to 80 Years 혻 (Adult, Older Adult)",Phase 3,79,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,PAIN_LCA_2011,Jan.11,Jan.12,Jun.12,8.Mar.11,,5.Feb.16,"Chonnam National University Hwasun Hospital, Jeonnam, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01310387,"1. Outpatients with lung cancer.
2. The patients with uncontrolled lung cancer pain - more than and equal NRS 4 pain during previous 24 hours for background pain, or more than and equal 3 times/day for breakthrough painkiller medication.
3. Over 20 year-old male or female.
4. The patients can be able to received telephone counseling by investigator's decision.","1. Drug or alcohol abusers.
2. Child-bearing women or pregnant women.
3. The patients with moderate to severe psychiatric problems.
4. The patients who have hypersensitivity to opioids."
27,NCT03394703,Korean Lung Cancer Screening Project,K-LUCAS,Unknown status,No Results Available,Lung Cancer,,"Early stage lung cancer detection rate|False positive rate|Cost-effectiveness of screening|Complications of diagnostic procedure|Participation rate among eligible criteria|Positve rate of LDCT diagnosis reporting system in Korean population|Effectiveness of quality control of screening units by network-based, computer-aided detection (CAD) system","National Cancer Center, Korea|Korean Association for Lung Cancer|The Korean Society of Radiology|The Korea Academy of Tuberculosis and Respiratory diseases|The Korean Academy of Family Medicine|The Korean Society for Preventive Medicine",All,"55 Years to 74 Years 혻 (Adult, Older Adult)",,8000,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,klucas2017,10.Apr.17,31.Dec.17,31.Dec.18,9.Jan.18,,9.Jan.18,"National Cancer Center, Goyang, Gyeonggi, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03394703,"Inclusion Criteria (1)
1. Age : 55-74 years old
2. Smoking history of at least 30 pack-years
1) current smokers
2) past smokers who quit smoking within 15 years
Inclusion Criteria (2) The lung cancer risk prediction model considers various lung risk factors in addition to age, smoking history and smoking quit duration. This includes drinking amount, physical activity, family history of cancer, information on lung disease and so on, in participant selection. Following criteria is applied when the lung cancer risk prediction model is used for participant selection.
1. Age : 50-74 years old
2. Smoking history of at least 20 pack-years
1) current smokers
2) past smokers who quit smoking within 15 years","1. Lung cancer diagnosed and treated
2. Inability to move without help (ECOG status 2 or higher)
3. Have been treating regularly for tuberculosis, pneumonia and interstitial lung disease
4. Treated for any cancer within the last 5 years (*Exception: Thyroid cancer, Skin cancer)
5. A chest CT examination less than 6 months"
46,NCT01441297,BIBF 1120 as Second Line Treatment for Small Cell Lung Cancer,,Completed,No Results Available,Small Cell Lung Cancer|Small Cell Lung Cancer Recurrent,Drug: BIBF 1120,Overall response rate|Overall survival rate|Progression free survival|Toxicity,"Ji-youn Han|National Cancer Center, Korea",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,24,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-10-525,Dec.11,31.Oct.15,31.Mar.16,27.Sep.11,,25.Aug.17,"National Cancer Center, Goyang-si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01441297,"1. Histologically confirmed SCLC
2. Progression during or after prior first line chemotherapy.
3. At least one target tumor lesion RECIST 1.1)
4. Life expectancy of at least three months
5. ECOG PS 0-2
6. Written informed consent","1. Previous therapy with other VGFR inhibitors (other than bevacizumab)
2. Persistence of clinically relevant therapy related toxicities from previous chemotherapy and/or radiotherapy
3. Chemo-, hormone-, immunotherapy with monoclonal antibodies, treatment with tyrosine kinase inhibitors, or radiotherapy (except for brain and extremities) within the past 3 weeks prior to treatment with the trial drug i.e., the minimum time elapsed since the last anticancer therapy and the first administration of BIBF 1120 must be 3 weeks
4. Treatment with other investigational drugs or treatment in another clinical trial within the past three weeks before start of therapy or concomitantly with this trial
5. Concomitant yellow fever vaccination
6. Uncontrolled brain metastases, spinal cord compression, carcinomatous meningitis, or leptomeningeal disease. Patients should have completed surgery or radiation therapy for existing brain metastases, should not have documented increase in size over the previous 3 months and should be asymptomatic off steroids
7. Radiographic evidence of cavitary or necrotic tumors
8. Centrally located tumors with radiographic evidence (CT or MRI) of local invasion of major blood vessels
9. History of clinically significant haemoptysis within the past 3 months (more than one teaspoon of fresh blood per day)
10. Therapeutic anticoagulation (except low dose heparin and/or heparin flush as needed for maintenance of an indwelling intravenous device) or antiplatelet therapy (except for chronic low-dose therapy with acetylsalicylic acid ≤325mg per day)
11. History of major thrombotic or clinically relevant major bleeding event in the past 6 months
12. Known inherited predisposition to bleeding or thrombosis
13. Significant cardiovascular diseases (i.e., hypertension not controlled by medical therapy, unstable angina, history of myocardial 2 infarction within the past 12 months, congestive heart failure > NYHA II, serious cardiac arrhythmia, pericardial effusion)
14. Calculated creatinine clearance by Cockcroft Gault <45ml/min
15. Proteinuria CTCAE grade 2 or greater
16. Total bilirubin above the upper limit of normal
17. ALT and/or AST > 2.5 x upper limit of normal in the presence of live metastasis or ALT and/or AST >1.5 x upper limit of normal in patients without liver metastasis.
18. Prothrombin time and/or partial thromboplastin time greater than 50% deviation from normal limits
19. Platelets <100000 platelets/μL (=mm3)
20. Significant weight loss (> 10 %) within the past 6 weeks prior to treatment in the present trial
21. Current peripheral neuropathy ≥ CTCAE(version4.0) Grade 2 except due to trauma
22. Pre-existing ascites and/or clinically significant pleural effusion
23. Major injuries and/or surgery within the past ten days prior to randomization with incomplete wound healing
24. Serious infections requiring systemic antibiotic (e.g. antiviral, antimicrobial, antifungal) therapy
25. Gastrointestinal disorders or abnormalities that would interfere with absorption of the study drug
26. Active or chronic hepatitis C and/or B infection
27. Known human immunodeficiency virus (HIV) seropositivity
28. serious illness or concomitant non-oncological disease or
29. Pregnancy or breast feeding
30. Active alcohol or drug abuse
31. Other malignancy within the past three years
32. Hypersensitivity to BIBF 1120 and/or the excipients of the trial drugs"
59,NCT00736814,First-Line Combination Chemotherapy in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer That Cannot Be Removed by Surgery,,Unknown status,No Results Available,Lung Cancer,Drug: carboplatin|Drug: docetaxel|Drug: gemcitabine hydrochloride|Drug: vinorelbine tartrate,Response rate (complete and partial responses)|Disease control rate|Response duration|Progression-free survival|Overall survival|Toxicity,Yonsei University|National Cancer Institute (NCI),All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,117,Other,Interventional,Allocation: Randomized|Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000609880|YONSEI-4-2008-0132|SANOFI-AVENTIS-YONSEI-4-2008-0,Jun.08,,,18.Aug.08,,24.Feb.11,"Yonsei Cancer Center at Yonsei University Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00736814,"DISEASE CHARACTERISTICS:
1. Histologically proven or radiologically and clinically suspected stage IIIB (with malignant pleural effusion) or IV non-small cell lung cancer
2. Unresectable disease
3. At least 1 measurable lesion (> 10 mm with spiral CT scan or > 20 mm with conventional CT scan)
4. No symptomatic or untreated brain metastases
PATIENT CHARACTERISTICS:
5. ECOG performance status 0-1
6. Life expectancy > 12 weeks
7. ANC ≥ 1,500/mm³
8. Hemoglobin > 9.0 g/dL
9. Platelet count ≥ 100,000/mm³
10. AST and ALT < 2 times upper limit of normal (ULN)
11 Bilirubin < 1.5 mg/dL
12. Creatinine < 1.5 times ULN
13. Not pregnant or nursing
14. No serious uncontrolled systemic intercurrent illness, including any of the following:
1) Acute myocardial infarction
2) Uncontrolled arrhythmia
3) Uncontrolled heart failure
4) Sepsis
5) Poorly controlled diabetes
15. No other malignancy within the last 5 years, except for carcinoma in situ of the cervix or nonmelanomatous carcinoma of the skin
PRIOR CONCURRENT THERAPY:
16. At least 3 weeks since prior radiotherapy, including cranial irradiation
17. At least 3 weeks since prior major surgery
18. No prior systemic chemotherapy except adjuvant chemotherapy provided it was completed more than 12 months ago",
63,NCT00754858,"Belotecan and Cisplatin in Treating Patients With Previously Untreated, Extensive-Stage Small Cell Lung Cancer",,Completed,No Results Available,Lung Cancer,Drug: belotecan hydrochloride|Drug: cisplatin,Response rate as assessed by RECIST criteria|Overall survival|Progression-free survival|Hematologic and non-hematologic toxicity as assessed by NCI CTCAE v3.0,Yonsei University,All,"18 Years to 75 Years 혻 (Adult, Older Adult)",Phase 2,42,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000614308|YONSEI-4-2008-0127|CKDPC-YONSEI-4-2008-0127|YONSEI-07-YUHS-02,Oct.08,May.10,Jun.12,18.Sep.08,,2.Dec.14,"Yonsei Cancer Center at Yonsei University Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00754858,"
DISEASE CHARACTERISTICS:
1. Histologically confirmed small cell lung cancer meeting the following criteria:
1) Extensive-stage disease
2) Previously untreated disease
2. At least one measurable disease
3. No brain or leptomeningeal metastasis
PATIENT CHARACTERISTICS:
4. ECOG performance status 0-2
5. Life expectancy ≥ 12 weeks
6. ANC ≥ 1,500/mm^3
7. Platelet count ≥ 100,000/mm^3
8. Hemoglobin ≥ 9.0 g/dL
9. Total bilirubin ≤ 1.5 mg/dL
10. ALT and AST ≤ 2.0 times upper normal limit (ULN) (≤ 5.0 times ULN in the presence of liver metastasis)
11. Alkaline phosphatase ≤ 2.0 times ULN
12. Creatinine ≤ 1.5 mg/dL OR creatinine clearance ≥ 60 mL/min
13. No active infection requiring intravenous antibiotics
14. No other malignancy within the past 5 years except adequately treated basal cell or squamous cell skin cancer or in situ cancer
15. No other severe acute or chronic medical condition or laboratory abnormality that may increase the risk associated with study participation or investigational product administration, interfere with the interpretation of study results, or make the patient ineligible for study entry, in the judgment of the investigator
PRIOR CONCURRENT THERAPY:
16. No prior chemotherapy or radiotherapy
17. No other concurrent chemotherapy, radiotherapy, or immunotherapy
",
70,NCT00616785,Combination Chemotherapy and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed by Surgery,,Unknown status,No Results Available,Lung Cancer,Drug: cisplatin|Drug: etoposide|Drug: irinotecan hydrochloride|Radiation: radiation therapy,Rate of local/regional control|Rate of systemic disease control|Feasibility of radiotherapy administered concurrently with etoposide and cisplatin chemotherapy|Toxicity of irinotecan hydrochloride and cisplatin induction chemotherapy as assessed by NCI CTCAE v3.0|Progression-free survival|Overall survival,Yonsei University|National Cancer Institute (NCI),All,"18 Years to 75 Years 혻 (Adult, Older Adult)",Phase 2,41,Other,Interventional,Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000584442|YONSEI-4-2007-0120,Jun.07,Nov.10,,15.Feb.08,,9.Feb.09,"Yonsei Cancer Center at Yonsei University Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00616785,"DISEASE CHARACTERISTICS:
1. Histologically or cytologically confirmed non-small cell lung cancer (NSCLC)
1) Stage IIIA (N2) or IIIB disease
a. Pathologic documentation of N2-3 mediastinal lymph nodes is encouraged but not required if nodal size is ≥ 1.5 cm in largest diameter
b. No stage IIIB disease with malignant pleural effusion or superior sulcus tumor
2. At least one measurable lesion as defined by Response Evaluation Criteria in Solid Tumors
3. Unresectable disease
4. No known brain metastasis
PATIENT CHARACTERISTICS:
5. ECOG performance status 0-2
6. Life expectancy > 3 months
7. ANC ≥ 1,500/mm³
8. Hemoglobin ≥ 9.0 g/dL (can be corrected by transfusion)
9. Platelet count ≥ 100,000/mm³
10. Creatinine < 1.5 mg/dL
11. Total bilirubin < 2 times upper limit of normal (ULN)
12. Transaminases < 3 times ULN
13. Patient compliance and geographic proximity that allow adequate follow up
14. No serious, uncontrolled systemic intercurrent illness (e.g., infections or poorly controlled diabetes)
15. No history of significant neurological or mental disorder, including seizures or dementia
16. No other malignancy within the past 5 years except carcinoma in situ of the cervix or nonmelanoma skin cancer
17. No active cardiac disease not controlled by therapy
18. No myocardial infarction within the past 12 months
PRIOR CONCURRENT THERAPY:
19. No prior chemotherapy or radiotherapy for NSCLC
20. No other concurrent systemic chemotherapy, investigational drug, or radiotherapy",
75,NCT00452803,Pre-operative Chemotherapy Versus Concurrent Chemoradiotherapy in N2 Positive IIIA Non Small Cell Lung Cancer (NSCLC),,Unknown status,No Results Available,Lung Cancer,Drug: chemotherapy|Drug: Concurrent chemoradiation therapy|Radiation: Concurrent chemoradiation therapy,To estimate the time to recurrence|To estimate the overall survival|To assess the pathologic complete response rate and the complete resection rate|To estimate toxicities,"National Cancer Center, Korea",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,102,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-06-164,Apr.06,Dec.11,Dec.12,28.Mar.07,,12.Jul.10,"National Cancer Center, Korea, Goyang-si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00452803,"1. Histologic or cytologic diagnosis of non-small cell lung cancer.
2. Presence of biopsy-proven N2 stage IIIA, according to the American Joint Committee on Cancer (AJCC), with none of the mediastinal lymph nodes > 3 cm in largest diameter.
3. Tumor amenable to surgical resection.
4. At least one unidimensional measurable lesion meeting Response Evaluation Criteria in Solid Tumors (RECIST. 2000).
5. No prior tumor therapy (surgery, radiotherapy, chemotherapy, immunotherapy, or any other type of tumor therapy).
6. Performance status of 0-1 on ECOG scale.
7. At least 18 years old.
8. Patient compliance that allows adequate follow-up.
9. Medical fitness of patients adequate for radical NSCLC surgery.
10. Adequate organ function including the following:Adequate hematologic function: WBC count ≥ 4,000/uL, absolute neutrophil count (ANC) ≥ 1,500/uL, platelet count ≥ 100,000/uL, and hemoglobin ≥ 10 gm/dL.Adequate hepatic function: bilirubin ≤ 1.5 x UNL, ALT or AST ≤ 2.5 x UNL.Adequate renal function: creatinine ≤ 1.5mg/dL.
11. Signed informed consent from patient or legal representative.12. Patients with reproductive potential must use an approved contraceptive method during and for 3 months after the study. Females with childbearing potential must have a negative urine hCG test within 7 days prior to study enrollment.","1. Concurrent administration of any other tumor therapy, including radiotherapy, chemotherapy, immunotherapy.
2. Active uncontrolled infection.
3. Serious concomitant disorders that would compromise the safety of patient or compromise the patient's ability to tolerate therapy.
4. MI within preceding 6 months or symptomatic heart disease including unstable angina, congestive heart failure, or uncontrolled arrhythmia.
5. Significant neurological or mental disorder.
6. Second primary malignancy.
7. Pregnant or nursing."
78,NCT01178190,The Role of Narrow Band Imaging Videobronchoscopy in Lung Cancer,NBI,Completed,No Results Available,Lung Cancer,,accuracy of NBI videobronchoscopic biopsy|early cancer lesion detection rate using Shibuya descriptors,Asan Medical Center,All,"19 Years and older 혻 (Adult, Older Adult)",,101,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,NBI-AMC,Jul.09,Jun.10,Jun.10,10.Aug.10,,10.Aug.10,"ChangMin, Choi, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01178190,1. endobronchial lesion on chest CT,"1. Age < 18 years old
2. Inability to consent for the study
3. Inability to tolerate bronchoscopy
4. Active pulmonary infection (bronchitis, pneumonia)
5. ST elevation or depression on ECG
6. Prothrombin time prolongation(<70%)
7. platelet <10,000"
86,NCT03479099,Liquid Biopsy in Lung Cancer,,Completed,No Results Available,Lung Cancer (Diagnosis)|Circulating Tumor Cell,,Diagnostic sensitivity of combined CTC and ctDNA|Diagnostic accuracy of combined CTC and ctDNA|Diagnostic specificity of CTC and ctDNA,Samsung Medical Center,All,"18 Years to 80 Years 혻 (Adult, Older Adult)",,111,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2018-01-081,12.Mar.18,11.Mar.19,11.Mar.19,27.Mar.18,,28.Aug.19,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03479099,"1. Patients with histology-proven lung cancer or a clinical suspicion of lung cancer
2. Age >=18, < 80 years
3. No previous history of cancer treatment within 5 years
4. Patients who agree to participate","1. Patients who have been diagnosed with malignancy within 5 years
2. Patients with previous history of lung cancer
3. Patients who have uncontrolled coagulopathy"
