"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03399578","Safety and Immunogenicity of a Candidate MERS-CoV Vaccine (MERS001)",,"Recruiting","No Results Available","MERS (Middle East Respiratory Syndrome)","Biological: ChAdOx1 MERS","Occurrence of solicited and unsolicited local and systemic adverse events|Measures of immunogenicity to the ChAdOx1 MERS vaccine","University of Oxford","All","18 Years to 50 Years   (Adult)","Phase 1","48","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","MERS001","March 14, 2018","July 2021","July 2021","January 16, 2018",,"October 21, 2019","Centre for Clinical Vaccinology and Tropical Medicine, Churchill Hospital, Oxford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03399578"
2,"NCT04119440","Randomized, Double-blind, Placebo-controlled, Phase Ib Study to Assess the Safety and Immunogenicity of MVA-MERS-S_DF-1",,"Not yet recruiting","No Results Available","MERS (Middle East Respiratory Syndrome)","Biological: MVA-MERS-S_DF1 - Low Dose|Biological: MVA-MERS-S_DF1 - High Dose|Other: Placebo","Frequency of adverse events associated with MVA-MERS-S_DF-1.|Frequency and severity of local injection site reactogenicity signs and symptoms|Immunogenicity","Universitätsklinikum Hamburg-Eppendorf|Coalition for Epidemic Preparedness Innovations|IDT Biologika Dessau.Rossau|German Center for Infection Research|CR2O|Clinical Trial Center North (CTC North GmbH & Co. KG)|Erasmus Medical Center","All","18 Years to 55 Years   (Adult)","Phase 1","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","CEPI-MVA-MERS-S-Phase1b","May 2020","December 2021","December 2021","October 8, 2019",,"October 8, 2019","CTC North, Hamburg, Germany|Erasmus Medical Centre, Rotterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT04119440"
3,"NCT03615911","Safety, Tolerability and Immunogenicity of Vaccine Candidate MVA-MERS-S",,"Completed","No Results Available","MERS (Middle East Respiratory Syndrome)","Biological: vaccine candidate MVA-MERS-S","Occurrence of solicited local and systemic reactogenicity as defined by the study protocol|Occurrence of unsolicited adverse events|Change from baseline of safety laboratory measures as assessed by the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) version 4|Occurrence of serious adverse events|Measures of immunogenicity to the MVA-MERS-S vaccine","Marylyn Addo|Philipps University Marburg Medical Center|Ludwig-Maximilians - University of Munich|Charite University, Berlin, Germany|Bernhard Nocht Institute for Tropical Medicine|University of Cologne|Universitätsklinikum Hamburg-Eppendorf","All","18 Years to 55 Years   (Adult)","Phase 1","26","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","UKE-DZIF1-MVA-MERS-S","November 28, 2017","April 15, 2019","May 10, 2019","August 6, 2018",,"October 2, 2019","CTC North GmbH & Co. KG at the University Medical Center Hamburg-Eppendorf, Hamburg, Germany",,"https://ClinicalTrials.gov/show/NCT03615911"
4,"NCT04170829","A Clinical Trial to Determine the Safety and Immunogenicity of Healthy Candidate MERS-CoV Vaccine (MERS002)",,"Recruiting","No Results Available","Middle East Respiratory Syndrome Coronavirus","Biological: ChAdOx1 MERS","Occurrence of solicited and unsolicited local and systemic adverse events|Measures of immunogenicity to the ChAdOx1 MERS vaccine","King Abdullah International Medical Research Center|University of Oxford","All","18 Years to 50 Years   (Adult)","Phase 1","24","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","CT18/004/R|MERS002","December 17, 2019","September 1, 2020","January 1, 2021","November 20, 2019",,"February 20, 2020","King Abdulaziz Medical City, National Guard Health Affairs, Riyadh, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT04170829"
5,"NCT02845843","MERS-CoV Infection tReated With A Combination of Lopinavir /Ritonavir and Interferon Beta-1b","MIRACLE","Completed","No Results Available","Middle East Respiratory Syndrome Coronavirus (MERS-CoV)","Drug: Combination of Lopinavir /Ritonavir and Interferon beta-1b|Drug: Placebo","90-day mortality|Organ support-free days (e.g., supplemental O2, ventilator, extracorporeal membrane oxygenation (ECMO), renal replacement and vasopressors)|RT-PCR cycle threshold value in the lower respiratory samples|Sequential organ failure assessment (SOFA) scores|ICU-free days|Length of stay in hospital|Number of Patients with Adverse drug reactions related to the treatment|Karnofsky Performance Scale|ICU mortality|Hospital mortality|28-day mortality","King Abdullah International Medical Research Center","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","95","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KingAbdullahIMRC","July 2016","May 2020","May 2020","July 27, 2016",,"May 20, 2020","Intensive Care Unit, King Abdulaziz Medical City, National Guard Health Affairs, Riyadh, Saudi Arabia|King Abdullah International Medical Research Center, Riyadh, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT02845843"
6,"NCT04128059","Study of Safety and Immunogenicity of BVRS-GamVac-Combi",,"Recruiting","No Results Available","MERS (Middle East Respiratory Syndrome)|MERS","Drug: BVRS-GamVac-Combi|Other: placebo","Number of Participants With Adverse Events|Number of Participants With Serious Adverse Events|Number of Participants with Solicited Local and Systemic Adverse Events|Antibody levels against the MERS-CoV glycoprotein S measured by an enzyme-linked immunosorbent assay (ELISA)|Assessment of antigen-specific cell-mediated immune response|Neutralizing antibody levels","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|Acellena Contract Drug Research and Development","All","18 Years to 55 Years   (Adult)","Phase 1|Phase 2","268","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","02-BVRS-GamVac-Combi-2019","November 6, 2019","December 1, 2020","December 31, 2020","October 16, 2019",,"November 8, 2019","ECO-Safety, Sankt-Peterburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04128059"
7,"NCT04130594","Study of Safety and Immunogenicity of BVRS-GamVac",,"Recruiting","No Results Available","MERS (Middle East Respiratory Syndrome)|MERS","Biological: BVRS-GamVac|Other: placebo","Number of Participants With Adverse Events|Number of Participants With Serious Adverse Events|Number of Participants with Solicited Local and Systemic Adverse Events|Antibody levels against the MERS-CoV glycoprotein S measured by an enzyme-linked immunosorbent assay (ELISA)|Assessment of antigen-specific cell-mediated immune response|Neutralizing antibody levels","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation","All","18 Years to 55 Years   (Adult)","Phase 1|Phase 2","162","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","01-BVRS-GamVac-2019","November 7, 2019","December 1, 2020","December 31, 2020","October 17, 2019",,"November 8, 2019","Research Institute of Influenza, Sankt-Peterburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04130594"
8,"NCT02627378","Saudi Outcomes of ECMO-treated MERS-CoV Patients",,"Completed","No Results Available","MERS-CoV Infection|Refractory Hypoxemia","Other: Extracorporeal Membrane Oxygenation|Other: Non Extracorporeal Membrane Oxygenation","Mortality rate|Use of antiviral medications|Use of steroid medications|Use of interferons|Use of immunoglobulin|Use of vasopressor medications|Use of inotropic medications|Need for renal replacement therapy|Changes in blood cell count|Changes in renal function tests|Changes in arterial blood gases levels|Ratio of arterial oxygen tension (PaO2) to the fraction of inspired oxygen (FiO2) (PaO2/FiO2 ratio)|Use of alveolar recruitment technique|Use of prone ventilation|Use of neuromuscular blockades|Bacterial co-infection|Hospital length of stay|ICU length of stay|Extracorporeal membrane oxygenation support gas flow (liter/min)|Extracorporeal membrane oxygenation support blood flow (liter/min/m2)|Duration of Extracorporeal membrane oxygenation circulatory support","Dammam University|Ministry of Health, Saudi Arabia|King Abdulaziz University","All","18 Years and older   (Adult, Older Adult)","Phase 1","35","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","A-00190","September 2012","June 2015","October 2015","December 10, 2015",,"December 10, 2015","Dammam University KFHU, Al-Khobar, EP, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT02627378"
9,"NCT02497885","Seroprevalence of MERS-CoV IgG in Healthcare Workers",,"Completed","No Results Available","Coronavirus Infections",,"IgG(+)","Ewha Womans University Mokdong Hospital","All","18 Years and older   (Adult, Older Adult)",,"737","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","KMSG_HCW_IgG","August 2015","October 2015","October 2015","July 15, 2015",,"October 30, 2015","Ewha womans university mokdong hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02497885"
10,"NCT02605109","Analysis of Human to Human Transmission of Middle East Respiratory Syndrom Coronavirus (MER-CoV)","MKU","Completed","No Results Available","Viral Infection","Other: Risk of MERS infection","Numbers of infected patient","Konkuk University Medical Center","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Case Control|Time Perspective: Retrospective","MERSKORKUH","June 2015","November 2015","November 2015","November 16, 2015",,"September 1, 2016",,,"https://ClinicalTrials.gov/show/NCT02605109"
