"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"A Systems Approach to Predict the Outcome of SARS-CoV-2 in the Population of a City; COVID-19","Recruiting","No Results Available","SARS Coronavirus (SARS-CoV-2) Infection","Other: Study A|Other: Study B|Other: Study C","Viollier AG, Allschwil, Switzerland|University Hospital Basel, Basel, Switzerland|Biozentrum University of Basel, Basel, Switzerland|sciCore University of Basel, Basel, Switzerland|Department of Biosystems Science and Engineering ETH Zurich, Basel, Switzerland|Swiss Institute of Bioinformatics, Geneva, Switzerland","https://ClinicalTrials.gov/show/NCT04351503"
2,"Investigating Severe Acute Respiratory Syndrome (SARS)","Completed","No Results Available","SARS Virus",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00066209"
3,"Phase I Dose Escalation SARS-CoV Recombinant S Protein, With and Without Adjuvant, Vaccine Study","Withdrawn","No Results Available","SARS","Drug: Aluminum hydroxide adjuvant (Alhydrogel®)|Other: Phosphate buffered saline Placebo|Biological: Recombinant S protein SARS vaccine","University of Iowa - Infectious Disease Clinic, Iowa City, Iowa, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center - Infectious Diseases, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT01376765"
4,"Collection of Convalescent SARS Plasma by Apheresis","Completed","No Results Available","Severe Acute Respiratory Syndrome|SARS",,"The Chinese University of Hong Kong, Hong Kong, China","https://ClinicalTrials.gov/show/NCT00342524"
5,"SARS Survivor Evaluations","Withdrawn","No Results Available","Coronavirus (SARS-CoV)",,"Beijing Ditan Hospital, Beijing, Beijing, China|Beijing You'An Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT00523276"
6,"Norwegian SARS-CoV-2 Study - Virological, Clinical and Immunological Characterisation of COVID-19","Recruiting","No Results Available","SARS Virus|Severe Acute Respiratory Syndrome","Diagnostic Test: SARS-CoV-2 PCR","Vestre Viken Drammen Hospital, Drammen, Viken, Norway|Haukeland University Hospital, Bergen, Norway|Østfold Hospital Trust, Fredrikstad, Norway|Akershus University Hospital, Lørenskog, Norway|Oslo University Hospital, Oslo, Norway|University Hospital North Norway, Tromsø, Norway|St Olavs Hospital, Trondheim, Norway","https://ClinicalTrials.gov/show/NCT04381819"
7,"Tocilizumab for SARS-CoV2 (COVID-19) Severe Pneumonitis","Active, not recruiting","No Results Available","SARS Pneumonia","Drug: Tocilizumab","Università Politecnica delle Marche, Ancona, AN, Italy","https://ClinicalTrials.gov/show/NCT04315480"
8,"SARS Coronavirus Vaccine (SARS-CoV)","Withdrawn","No Results Available","Coronavirus (SARS-CoV)","Drug: Aluminum hydroxide|Drug: Placebo|Biological: SARS-CoV","Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00533741"
9,"Immune Response and Risk of Serious Infection to SARS-Cov2","Recruiting","No Results Available","SARS Cov2, Immune Response","Biological: Blood sample collection","Chu Dijon Bourogne, Dijon, France","https://ClinicalTrials.gov/show/NCT04410432"
10,"Chloroquine Diphosphate for the Treatment of Severe Acute Respiratory Syndrome Secondary to SARS-CoV2","Recruiting","No Results Available","SARS-CoV Infection|Severe Acute Respiratory Syndrome (SARS) Pneumonia","Drug: Chloroquine diphosphate","Hospital e Pronto Socorro Delphina Rinaldi Abdel Aziz, Manaus, Amazonas, Brazil","https://ClinicalTrials.gov/show/NCT04323527"
11,"Study of Viral Load and Maternal-fetal Serology in the Interpretation of the Vertical Transmission of SARS Cov-2 (COVID-19) During Pregnancy","Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: biological samples day of delivery","Chu Besancon, Besancon, France","https://ClinicalTrials.gov/show/NCT04402918"
12,"WGS ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS","Enrolling by invitation","No Results Available","Coronavirus Infection|SARS-CoV-2",,"Vanda Pharmaceuticals, Inc., Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT04353401"
13,"Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection","Recruiting","No Results Available","SARS-CoV Infection","Drug: Losartan","Sharp Grossmont Hospital, La Mesa, California, United States|Sharp Chula Vista Medical Center, San Diego, California, United States|Sharp Coronado Hospital, San Diego, California, United States|Sharp Memorial Hospital, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT04340557"
14,"Hydroxychloroquine to Prevent SARS-CoV-2 Infection","Not yet recruiting","No Results Available","SARS-CoV-2","Drug: Hydroxychloroquine","Centro Médico Naval ""Cirujano Mayor Santiago Távara"", Callao, Peru|Hospital Nacional Hipólito Unanue, Lima, Peru|Hospital Nacional Arzobispo Loayza, Lima, Peru|Hospital Cayetano Heredia, Lima, Peru","https://ClinicalTrials.gov/show/NCT04414241"
15,"Sero-epidemiological Study of the SARS-CoV-2 Virus Responsible for COVID-19 in France","Recruiting","No Results Available","SARS (Severe Acute Respiratory Syndrome)|COVID-19","Other: Human Biological samples","CHU Amiens-Picardie, Amiens, France|CHU François Mitterand, Dijon, France|Centre Hospitalier Départemental de Vendée, La Roche-sur-Yon, France|CHU Limoges, Limoges, France|Hôpital de la Croix Rousse, Lyon, France|CHRU de Nancy, Nancy, France|Hôpitaux de Brabois, Nancy, France|CHR Orléans, Orléans, France|Institut Pasteur, Paris, France|Hôpital la Pitié Salpetrière, Paris, France|CHU Poitiers, Poitiers, France|Hôpital Pontchaillou, Rennes, France|CHU Saint-Etienne, Saint-Étienne, France|CHRU de Strasbourg, Strasbourg, France|CH de Tourcoing, Tourcoing, France|Hôpital Bretonneau, Tours, France","https://ClinicalTrials.gov/show/NCT04325646"
16,"Long Term Physical Functional Limitations in Daily Living in SARS-CoV2 Infected Patients Hospitalized in the Acute Phase Then Requiring Rehabilitation","Not yet recruiting","No Results Available","Infection With Coronavirus SARS-CoV2","Other: Data record","Damien JOLLY, Reims, France","https://ClinicalTrials.gov/show/NCT04356378"
17,"Increased Risk of SARS-CoronaVirus-2 (SARS-CoV-2) Infection Associated With Endoscopy (DECORE Study)","Recruiting","No Results Available","SARS-CoV 2|COVID","Behavioral: Telephonic medical visit|Procedure: Gastrointestinal endoscopy|Procedure: Abdominal ultrasound","Hospital Rio Hortega, Valladolid, Spain","https://ClinicalTrials.gov/show/NCT04401033"
18,"Peginterferon Lambda-1a for the Prevention and Treatment of SARS-CoV-2 (COVID-19) Infection","Recruiting","No Results Available","Sars-CoV2","Drug: Peginterferon lambda alfa-1a subcutaneous injection|Other: Saline","Johns Hopkins Hospital, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04344600"
19,"Methylprednisolone in the Treatment of Patients With Signs of Severe Acute Respiratory Syndrome in Covid-19","Recruiting","No Results Available","SARS-CoV Infection|Severe Acute Respiratory Syndrome (SARS) Pneumonia","Drug: Methylprednisolone Sodium Succinate|Drug: Placebo solution","Hospital e Pronto Socorro Delphina Rinaldi Abdel Aziz, Manaus, Amazonas, Brazil","https://ClinicalTrials.gov/show/NCT04343729"
