,Inclusion Criteria,Exclusion Criteria
0,"age 20-75, men and women
person who performed PET/CT and surgical biopsy of mediastinal lymph node for diagnosis of primary lung cancer of metastatic lung cancer","age < 20
person who don't agree with enrollment
illiterate
person who is diagnosed as active tuberculosis now
person who has history of hypersensitivity on PPD (tuberculin purified protein derivative)
pregnant woman
person who is treated as active tuberculosis"
1,"Outpatients with lung cancer.
The patients with uncontrolled lung cancer pain - more than and equal NRS 4 pain during previous 24 hours for background pain, or more than and equal 3 times/day for breakthrough painkiller medication.
Over 20 year-old male or female.
The patients can be able to received telephone counseling by investigator's decision.","Drug or alcohol abusers.
Child-bearing women or pregnant women.
The patients with moderate to severe psychiatric problems.
The patients who have hypersensitivity to opioids."
2,"Inclusion Criteria (1)
Age : 55-74 years old
Smoking history of at least 30 pack-years
1) current smokers
2) past smokers who quit smoking within 15 years
Inclusion Criteria (2) The lung cancer risk prediction model considers various lung risk factors in addition to age, smoking history and smoking quit duration. This includes drinking amount, physical activity, family history of cancer, information on lung disease and so on, in participant selection. Following criteria is applied when the lung cancer risk prediction model is used for participant selection.
Age : 50-74 years old
Smoking history of at least 20 pack-years
1) current smokers
2) past smokers who quit smoking within 15 years","Lung cancer diagnosed and treated
Inability to move without help (ECOG status 2 or higher)
Have been treating regularly for tuberculosis, pneumonia and interstitial lung disease
Treated for any cancer within the last 5 years (*Exception: Thyroid cancer, Skin cancer)
A chest CT examination less than 6 months"
3,"Histologically confirmed SCLC
Progression during or after prior first line chemotherapy.
At least one target tumor lesion RECIST 1)
Life expectancy of at least three months
ECOG PS 0-2
Written informed consent","Previous therapy with other VGFR inhibitors (other than bevacizumab)
Persistence of clinically relevant therapy related toxicities from previous chemotherapy and/or radiotherapy
Chemo-, hormone-, immunotherapy with monoclonal antibodies, treatment with tyrosine kinase inhibitors, or radiotherapy (except for brain and extremities) within the past 3 weeks prior to treatment with the trial drug i.e., the minimum time elapsed since the last anticancer therapy and the first administration of BIBF 1120 must be 3 weeks
Treatment with other investigational drugs or treatment in another clinical trial within the past three weeks before start of therapy or concomitantly with this trial
Concomitant yellow fever vaccination
Uncontrolled brain metastases, spinal cord compression, carcinomatous meningitis, or leptomeningeal disease. Patients should have completed surgery or radiation therapy for existing brain metastases, should not have documented increase in size over the previous 3 months and should be asymptomatic off steroids
Radiographic evidence of cavitary or necrotic tumors
Centrally located tumors with radiographic evidence (CT or MRI) of local invasion of major blood vessels
History of clinically significant haemoptysis within the past 3 months (more than one teaspoon of fresh blood per day)
1Therapeutic anticoagulation (except low dose heparin and/or heparin flush as needed for maintenance of an indwelling intravenous device) or antiplatelet therapy (except for chronic low-dose therapy with acetylsalicylic acid ≤325mg per day)
1History of major thrombotic or clinically relevant major bleeding event in the past 6 months
1Known inherited predisposition to bleeding or thrombosis
1Significant cardiovascular diseases (i.e., hypertension not controlled by medical therapy, unstable angina, history of myocardial 2 infarction within the past 12 months, congestive heart failure > NYHA II, serious cardiac arrhythmia, pericardial effusion)
1Calculated creatinine clearance by Cockcroft Gault <45ml/min
1Proteinuria CTCAE grade 2 or greater
1Total bilirubin above the upper limit of normal
1ALT and/or AST > 5 x upper limit of normal in the presence of live metastasis or ALT and/or AST >5 x upper limit of normal in patients without liver metastasis.
1Prothrombin time and/or partial thromboplastin time greater than 50% deviation from normal limits
1Platelets <100000 platelets/μL (=mm3)
2Significant weight loss (> 10 %) within the past 6 weeks prior to treatment in the present trial
2Current peripheral neuropathy ≥ CTCAE(version0) Grade 2 except due to trauma
2Pre-existing ascites and/or clinically significant pleural effusion
2Major injuries and/or surgery within the past ten days prior to randomization with incomplete wound healing
2Serious infections requiring systemic antibiotic (e.g. antiviral, antimicrobial, antifungal) therapy
2Gastrointestinal disorders or abnormalities that would interfere with absorption of the study drug
2Active or chronic hepatitis C and/or B infection
2Known human immunodeficiency virus (HIV) seropositivity
2serious illness or concomitant non-oncological disease or
2Pregnancy or breast feeding
3Active alcohol or drug abuse
3Other malignancy within the past three years
3Hypersensitivity to BIBF 1120 and/or the excipients of the trial drugs"
4,"DISEASE CHARACTERISTICS:
Histologically proven or radiologically and clinically suspected stage IIIB (with malignant pleural effusion) or IV non-small cell lung cancer
Unresectable disease
At least 1 measurable lesion (> 10 mm with spiral CT scan or > 20 mm with conventional CT scan)
No symptomatic or untreated brain metastases
PATIENT CHARACTERISTICS:
ECOG performance status 0-1
Life expectancy > 12 weeks
ANC ≥ 1,500/mm³
Hemoglobin > 0 g/dL
Platelet count ≥ 100,000/mm³
1AST and ALT < 2 times upper limit of normal (ULN)
11 Bilirubin < 5 mg/dL
1Creatinine < 5 times ULN
1Not pregnant or nursing
1No serious uncontrolled systemic intercurrent illness, including any of the following:
1) Acute myocardial infarction
2) Uncontrolled arrhythmia
3) Uncontrolled heart failure
4) Sepsis
5) Poorly controlled diabetes
1No other malignancy within the last 5 years, except for carcinoma in situ of the cervix or nonmelanomatous carcinoma of the skin
PRIOR CONCURRENT THERAPY:
1At least 3 weeks since prior radiotherapy, including cranial irradiation
1At least 3 weeks since prior major surgery
1No prior systemic chemotherapy except adjuvant chemotherapy provided it was completed more than 12 months ago",
5,"DISEASE CHARACTERISTICS:
Histologically confirmed small cell lung cancer meeting the following criteria:
1) Extensive-stage disease
2) Previously untreated disease
At least one measurable disease
No brain or leptomeningeal metastasis
PATIENT CHARACTERISTICS:
ECOG performance status 0-2
Life expectancy ≥ 12 weeks
ANC ≥ 1,500/mm^3
Platelet count ≥ 100,000/mm^3
Hemoglobin ≥ 0 g/dL
Total bilirubin ≤ 5 mg/dL
1ALT and AST ≤ 0 times upper normal limit (ULN) (≤ 0 times ULN in the presence of liver metastasis)
1Alkaline phosphatase ≤ 0 times ULN
1Creatinine ≤ 5 mg/dL OR creatinine clearance ≥ 60 mL/min
1No active infection requiring intravenous antibiotics
1No other malignancy within the past 5 years except adequately treated basal cell or squamous cell skin cancer or in situ cancer
1No other severe acute or chronic medical condition or laboratory abnormality that may increase the risk associated with study participation or investigational product administration, interfere with the interpretation of study results, or make the patient ineligible for study entry, in the judgment of the investigator
PRIOR CONCURRENT THERAPY:
1No prior chemotherapy or radiotherapy
1No other concurrent chemotherapy, radiotherapy, or immunotherapy
",
6,"DISEASE CHARACTERISTICS:
Histologically or cytologically confirmed non-small cell lung cancer (NSCLC)
1) Stage IIIA (N2) or IIIB disease
a. Pathologic documentation of N2-3 mediastinal lymph nodes is encouraged but not required if nodal size is ≥ 5 cm in largest diameter
b. No stage IIIB disease with malignant pleural effusion or superior sulcus tumor
At least one measurable lesion as defined by Response Evaluation Criteria in Solid Tumors
Unresectable disease
No known brain metastasis
PATIENT CHARACTERISTICS:
ECOG performance status 0-2
Life expectancy > 3 months
ANC ≥ 1,500/mm³
Hemoglobin ≥ 0 g/dL (can be corrected by transfusion)
Platelet count ≥ 100,000/mm³
1Creatinine < 5 mg/dL
1Total bilirubin < 2 times upper limit of normal (ULN)
1Transaminases < 3 times ULN
1Patient compliance and geographic proximity that allow adequate follow up
1No serious, uncontrolled systemic intercurrent illness (e.g., infections or poorly controlled diabetes)
1No history of significant neurological or mental disorder, including seizures or dementia
1No other malignancy within the past 5 years except carcinoma in situ of the cervix or nonmelanoma skin cancer
1No active cardiac disease not controlled by therapy
1No myocardial infarction within the past 12 months
PRIOR CONCURRENT THERAPY:
1No prior chemotherapy or radiotherapy for NSCLC
2No other concurrent systemic chemotherapy, investigational drug, or radiotherapy",
7,"Histologic or cytologic diagnosis of non-small cell lung cancer.
Presence of biopsy-proven N2 stage IIIA, according to the American Joint Committee on Cancer (AJCC), with none of the mediastinal lymph nodes > 3 cm in largest diameter.
Tumor amenable to surgical resection.
At least one unidimensional measurable lesion meeting Response Evaluation Criteria in Solid Tumors (RECIST. 2000).
No prior tumor therapy (surgery, radiotherapy, chemotherapy, immunotherapy, or any other type of tumor therapy).
Performance status of 0-1 on ECOG scale.
At least 18 years old.
Patient compliance that allows adequate follow-up.
Medical fitness of patients adequate for radical NSCLC surgery.
1Adequate organ function including the following:Adequate hematologic function: WBC count ≥ 4,000/uL, absolute neutrophil count (ANC) ≥ 1,500/uL, platelet count ≥ 100,000/uL, and hemoglobin ≥ 10 gm/dL.Adequate hepatic function: bilirubin ≤ 5 x UNL, ALT or AST ≤ 5 x UNL.Adequate renal function: creatinine ≤ 5mg/dL.
1Signed informed consent from patient or legal representative.1Patients with reproductive potential must use an approved contraceptive method during and for 3 months after the study. Females with childbearing potential must have a negative urine hCG test within 7 days prior to study enrollment.","Concurrent administration of any other tumor therapy, including radiotherapy, chemotherapy, immunotherapy.
Active uncontrolled infection.
Serious concomitant disorders that would compromise the safety of patient or compromise the patient's ability to tolerate therapy.
MI within preceding 6 months or symptomatic heart disease including unstable angina, congestive heart failure, or uncontrolled arrhythmia.
Significant neurological or mental disorder.
Second primary malignancy.
Pregnant or nursing."
8,endobronchial lesion on chest CT,"Age < 18 years old
Inability to consent for the study
Inability to tolerate bronchoscopy
Active pulmonary infection (bronchitis, pneumonia)
ST elevation or depression on ECG
Prothrombin time prolongation(<70%)
platelet <10,000"
9,"Patients with histology-proven lung cancer or a clinical suspicion of lung cancer
Age >=18, < 80 years
No previous history of cancer treatment within 5 years
Patients who agree to participate","Patients who have been diagnosed with malignancy within 5 years
Patients with previous history of lung cancer
Patients who have uncontrolled coagulopathy"
10,"Locally advanced stage IIIB not suitable for curative therapy or stage IV (metastatic) disease or relapsed NSCLC
ECOG Performance status 0~Written Informed Consent
Female or male patients aged 18 years or over, eligible for treatment for NSCLC","Previous exposure to EGFR-TKI
Concomitant use of other anti-cancer drugs with EGFR-TKI
Patients without available Tumor DNA
As judged by the investigator, any evidence of severe or uncontrolled systemic disease (e.g. unstable or uncompensated respiratory, cardiac, hepatic, or renal disease)
Evidence of any other significant clinical disorder or laboratory finding that makes it undesirable for the subject to participate in the study
Pregnancy or breast-feeding women (women of child¬bearing potential). Women of childbearing potential must practice acceptable methods of birth control to prevent pregnancy."
11,"DISEASE CHARACTERISTICS:
Histologically or cytologically confirmed non-small cell lung cancer
1) Advanced (stage IIIB-IV) or recurrent disease
Must have failed 1 or 2 prior chemotherapy regimens, including platinum-containing regimen
At least 1 unidimensionally measurable lesion > 10 mm by spiral CT scan or > 20 mm by conventional CT scan
1) Previously irradiated lesions cannot be included as sites of measurable disease unless clear tumor progression has been documented in the lesions since the end of radiotherapy
No known or suspected brain metastases
1) Patients with clinical signs or symptoms that are suspicious of brain metastasis must have a pre-treatment CT scan or MRI of the brain
2) Patients with prior brain metastases are eligible provided they have completed their treatment for brain metastases, no longer require corticosteroids, and are asymptomatic
PATIENT CHARACTERISTICS:
ECOG performance status 0-2
WBC 4,000-12,000/μL
Neutrophil ≥ 1,500/μL
Platelet count ≥ 100,000/μL
Hemoglobin ≥ 0 g/dL
1Total bilirubin ≤ 5 times upper limit of normal (ULN)
1AST and ALT ≤ 0 times ULN
1Alkaline phosphatase ≤ 0 times ULN
1Serum creatinine ≤ 5 times ULN
1Not pregnant or nursing
1No active clinically serious infections
1No prior or concurrent cancer that is distinct in primary site or histology from the cancer being evaluated in this study except cervical carcinoma in situ, treated basal cell carcinoma, superficial bladder tumors (Ta, Tis and T1), or any cancer curatively treated > 5 years before study
1Able to swallow oral medications
1No substance abuse or medical, psychological, or social conditions that may interfere with participation in the study or evaluation of the study results
PRIOR CONCURRENT THERAPY:
1See Disease Characteristics
2Recovered from all prior therapy
2No prior anti-EGFR targeted therapy
2At least 4 weeks since prior surgery
2At least 4 weeks since prior and no concurrent radiotherapy
2No prior radiotherapy to the whole pelvis or chest or to ≥ 25% of the bone marrow
1) No other concurrent anticancer agents (e.g., chemotherapy or immunotherapy agents) which might affect evaluation of study treatment",
12,"Histologically or cytologically confirmed SCLC
Clinically diagnosed metastatic or recurrent SCLC according to Sixth Edition of the AJCC Cancer Staging Manual
At least 18 years old
ECOG performance status 0-2
Disease status must be that of measurable disease defined as RECIST:Lesions that can be accurately measured in at least one dimension > 10 mm with chest x-ray, spiral CT scan or physical examination
Progression during or after prior first line chemotherapy or chemoradiotherapy.
Before study entry, a minimum of 21 days must have elapsed since any prior chemotherapy or radiation
No prior radiotherapy to measurable lesion(s) but previous surgery and/or chest radiotherapy for the primary lesion is allowed
Adequate major organ function including the following:Hematologic function: WBC ≥ 3,500/mm3 or absolute neutrophil count (ANC) ≥ 1,500/mm3, platelet count ≥ 100,000/mm3Hepatic function: bilirubin ≤ 5 x UNL , AST/ALT levels ≤ 5 x UNLRenal function: serum creatinine ≤ 5mg/dL
1Patients should sign an informed consent
1If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative hCG test within 7 days prior to the study registration.","MI within preceding 6 months or symptomatic heart disease including unstable angina, congestive heart failure, or uncontrolled arrhythmia
Serious concurrent infection or nonmalignant illness that is uncontrolled or whose control may be jeopardized by complication of study therapy
Other malignancy with the past 5 years except adequately treated cutaneous basal cell carcinoma or uterine cervix in situ cancer
Pregnant or nursing women
Psychiatric disorder that would preclude compliance.
Major surgery other than biopsy within the past two weeks."
