,Unnamed: 0,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,field1,inclusion_creteria,field2,exclusion_creteria
923,923,924,NCT04270383,Clinical Characteristics and Long-term Prognosis of 2019-nCoV Infection in Children,,Not yet recruiting,No Results Available,2019-nCoV,,"The cure rate of 2019-nCoV.|The improvement rate of 2019-nCoV.|The incidence of long-term adverse outcomes.|Duration of fever|Duration of respiratory symptoms|Duration of hospitalization|Number of participant(s) need intensive care|Number of participant(s) with acute respiratory distress syndrome|Number of participant(s) with extra-pulmonary complications, including shock, renal failure, multiple organ failure, hemophagocytosis syndrome, et al.|Number of participant(s) who died during the trial","Beijing Children's Hospital|Capital Institute of Pediatrics, China|The First Affiliated Hospital of Anhui Medical University|China-Japan Friendship Hospital|The First Affiliated Hospital of Xiamen University|Guangzhou Women and Children's Medical Center|Shenzhen Children's Hospital|First Affiliated Hospital of Guangxi Medical University|The Affiliated Hospital Of Guizhou Medical University|Hainan People's Hospital|Children's Hospital of Hebei Province|Wuhan Women and Children's Medical Center|Changchun Children's Hospital|Children’s Hospital of Nanjing Medical University|Jiangxi Province Children's Hospital|Shengjing Hospital|Shanxi Provincial Maternity and Children's Hospital|Xian Children's Hospital|Children's Hospital of Chongqing Medical University|Tianjin Children's Hospital|Tianjin Medical University Second Hospital|Kunming Children's Hospital|Second Affiliated Hospital of Wenzhou Medical University",All,"up to 18 Years   (Child, Adult)",,500.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,BCH Lung 012,"February 15, 2020","December 31, 2020","December 31, 2020","February 17, 2020",,"February 17, 2020","Beijing Children's Hospital,, Beijing, China",,https://ClinicalTrials.gov/show/NCT04270383,"

For the 2019-nCoV infection group
Inclusion Criteria:
Diagnosed with 2019-nCoV infection (with direct laboratory evidence).

Respiratory or blood samples tested positive for novel coronavirus nucleic acid with RT-PCR.
Gene sequencing of respiratory or blood samples show highly homologous with known novel coronaviruses.

Exclusion Criteria:
Subjects will be excluded if the children or their parents disagree to conduct this study.

For the control group
",,"
Diagnosed with pneumonia, and excepted of novel coronavirus infection.
The hospitalization time is the same as that of novel coronavirus pneumonia.
",
1683,1683,1684,NCT01306084,Viral Infections in Healthy and Immunocompromised Hosts,,Enrolling by invitation,No Results Available,Herpes Viruses|Herpes Simplex Virus Infection|Epstein Barr Virus Infection|Cytomegalovirus Infection|Varicella-Zoster Virus Infection|Human Herpes Virus 6 Infection|Norovirus Infection|Adenovirus Infection|Respiratory Virus Infection,,"Sample collection, analysis of immune function, or review of tissue bx or clinical rpts from outside labs in designated pop. w/ viral, suspected, or recovered from a viral infection or a close contact of people w/or suspected to have a viral inf...",National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"Child, Adult, Older Adult",,164.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,110109|11-I-0109,"March 5, 2011",,,"March 1, 2011",,"May 20, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01306084,"

INCLUSION CRITERIA:


The protocol is open to people of all ages:
i. Only patients greater than or equal to 2 years of age can be enrolled at the Clinical Center
ii. Patients who are < 2 years old may be enrolled only remotely and will not be seen at the Clinical Center.

Must have (or be suspected of having) a viral infection, that is of interest to LID investigators. Alternatively, must be a close contact of someone who has (or is suspected of having) a viral infection that is of interest to LID investigators.
Adults who are unable to provide initial consent may be enrolled providing procedures per Human Research Protections Program (HRPP) standard operation procedure (SOP) 14E have been followed.


",,"
Patients who are unable to safely undergo study procedures and tests.

Patients unwilling to have samples collected and stored for future use.
INCLUSION OF VULNERABLE PARTICIPANTS:
-Children:
Children younger than 2 years of age will be enrolled only remotely from non-NIH medical facilities and will not be seen at the Clinical Center, because children of this age are susceptible to viral infections, some of which are more likely to occur in this very young population or could be more severe. Title 45 of the United States Code of Federal Regulations (CFR) Part 46 Subpart D and (OHRSPHRPP SOP 14D) will be followed to comply with research involving children. The proposed research poses a risk no greater than that encountered with blood tests or other minimally invasive tests ordered as part of a routine history and physical examination. The PI will ensure that appropriate permission from each child s parent(s) or guardian has been obtained for participation in this study.
-Pregnant Women:
Pregnant women are eligible to participate in this study as they are susceptible to viral infections, some of which may be more severe in this patient population. This study provides an opportunity to learn more about viral infections in pregnant women. This information may be meaningful in informing disease severity, clinical practice for treating pregnant women, or in leading to new treatments for this population. This information cannot be gained without the participation of pregnant women. The primary procedure performed under this protocol is a blood draw but other procedures may be performed and are considered minimal risk in clinical practice. No procedures that would affect a developing fetus or affect a baby through breastfeeding are performed in the protocol.
-Decisionally Impaired Adults:
Adults who are unable to provide initial informed consent are eligible to enroll. Also adults who lose the ability to provide on-going consent subsequent to giving initial consent may continue to participate. These adults are susceptible to viral infections and we can learn about viral infections that may occur in this population. Institutionalized adults will not be enrolled. The procedures utilized are clinically considered to be of minimal risk

",
948,948,949,NCT04334954,SARS-COV2 Pandemic Serosurvey and Blood Sampling,,Recruiting,No Results Available,SARS-COV2 Virus,,Number of people with detectable antibodies to SARS-COV2,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,15000.0,NIH,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,200083|20-I-0083,"May 28, 2020","March 31, 2022","March 31, 2022","April 6, 2020",,"May 25, 2020","University of Alabama, Birmingham, Alabama, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT04334954,"

INCLUSION CRITERIA:

>= 18 years of age.
Willing and able to complete a verbal telephone consent.
Willing to undergo one blood draw or home blood sampling.
Willing to have blood samples stored for future research.


",,"
Confirmed history of COVID19 infection or exposure
Current symptoms consistent with COVID19 infection
Any condition or event that, in the PI s opinion, may substantially increase the risk associated with study participation or compromise the study's scientific objectives. Conditions that exclude a subject are considered to be unlikely, but an example would include having an acute respiratory infection or recent exposure that would prevent participants that would make it unsafe to obtain blood samples.
Not willing to have blood samples stored for future research.
",
1326,1326,1327,NCT04391816,COVID-19 Pandemic Impact on Alcohol (PIA) - A Natural History Study,,Recruiting,No Results Available,Alcohol Drinking|Alcohol-Related Disorders|Pandemic|Psychological Stress,,AUDIT Score|ADS Score|Life Events Questionnaire (LEQ) Score|UCLA Loneliness Scale (UCLALS) Score|Perceived Stress Scale (PSS) Score,National Institute on Alcohol Abuse and Alcoholism (NIAAA)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,700.0,NIH,Observational,Observational Model: Other|Time Perspective: Prospective,999920115|20-AA-N115,"May 28, 2020","December 31, 2022","December 31, 2024","May 18, 2020",,"May 25, 2020","NIAAA Section on Human Psychopharmacology, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04391816,"

INCLUSION CRITERIA:

Participants who have enrolled in the NIAAA Screening Protocol (14-AA-0181) and completed screening and phenotyping assessments.
Willing and able to complete frequent (weekly to monthly) surveys either online or by phone.


",,"As this is a natural history protocol, there are no formal exclusionary criteria for this study. Participants who are determined by the interviewer to be uncooperative or unable to provide consent via telephone will not be enrolled into the study.",
1549,1549,1550,NCT04386720,Measurement of Airway Opening Pressure (AOP) in Patients With Acute Respiratory Distress Syndrom and With or Without Covid 19.,POVA-TIE,Not yet recruiting,No Results Available,Acute Respiratory Distress Syndrome,,Comparison of the PV curves|Comparison of regional AOP|Comparison of the different AOPs with the level of PEEP,"University Hospital, Bordeaux",All,"18 Years and older   (Adult, Older Adult)",,20.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,CHUBX 2020/15,"May 20, 2020","May 20, 2021","May 20, 2021","May 13, 2020",,"May 20, 2020","HOPITAL HAUT-LEVEQUE - Service Réanimation thoracique, Pessac, France",,https://ClinicalTrials.gov/show/NCT04386720,"

Inclusion criteria:
- Patients hospitalized in the ICU and who suffered moderate to severe ARDS (Berlin criteria) equipped EIT over the age of 18.


Exclusion criteria:

Broncho-pleural leaks
ECMO
Pregnant or breastfeeding woman.
Guardianship or curatorship
Deprived of liberty
No health insurance
Impossibility to correctly position the EIT belt (e.g., dressings, chest drainage, etc.)
Contra indications to EIT (e.g., implantable cardiac defibrillator, pacemaker, instable spinal lesions)


",,,
587,587,588,NCT04371432,Genetics of COVID-19 Susceptibility and Manifestations,,Recruiting,No Results Available,COVID-19|Coronavirus 2019,,Molecular etiology of host susceptibility to severe COVID-19|Mechanisms of disease,National Human Genome Research Institute (NHGRI)|National Institutes of Health Clinical Center (CC),All,"3 Years to 60 Years   (Child, Adult)",,2500.0,NIH,Observational,Observational Model: Case-Control|Time Perspective: Prospective,200090|20-HG-0090,"May 28, 2020","June 1, 2025","June 1, 2025","May 1, 2020",,"May 25, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04371432,"
INCLUSION CRITERIA
FOR Cohort 1 (Existing NIH Clinical Center Patient/Participants invited to participate by their NIH study team) and Cohort 2 (Individuals recruited through NIH Occupational Medicine Services (OMS) invited to participate by OMS)
Positive test for SARS-CoV-2 virus infection
Weight greater than or equal to 10 kg
Age greater than or equal to 3 years old
",,-Individuals invited to participate for whom we cannot consent for participation in a language offered by our existing interpretation service.,
1348,1348,1349,NCT04339790,Mental Health Impact of COVID-19 Pandemic on NIMH Research Participants and Volunteers,,Recruiting,No Results Available,Healthy Volunteer|Mood Disorder|Anxiety Disorder|Preexisting Medical Condition,,NIMH COVID Study survey - adult responses|DSM XC and KS survey,National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,10000.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,999920085|20-M-N085,"May 28, 2020","March 1, 2022","April 1, 2022","April 9, 2020",,"May 25, 2020","National Institute of Mental Health (NIMH), Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04339790,"
INCLUSION CRITERIA:
",,"
18 years of age and older.
Able to read and write English.
Able to provide informed consent online using study website.
",
1466,1466,1467,NCT04377100,Impact on Anxiety and Motivation of COVID-19 and Predictors of Individual Responses,,Not yet recruiting,No Results Available,Anxiety|Healthy Volunteers,Behavioral: Computer task questionnaires,Patterns of neural connectivity as predictors,National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500.0,NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,999920112|20-M-N112,"May 28, 2020","February 28, 2021","February 28, 2021","May 6, 2020",,"May 25, 2020","National Institute of Mental Health (NIMH), Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04377100,"
INCLUSION CRITERIA:
",,"
18 years of age and older.
Able to read and write English.
Able to provide informed consent online using study website.
",
181,181,182,NCT04394884,Pathogenesis of BTK-mediated Hyper-Inflammatory Responses in COVID-19 (RESPOND),,Recruiting,No Results Available,COVID-19,,"To characterize the immunologic mechanisms by which BTK inhibition may ameliorate hyper- inflammatory responses in patients with COVID-19.|1. Characterization of TLR3 and TLR7/8-dependent immunologic phenotypes in COVID-19 patients before and after BTK inhibition.|2. Evaluation of mechanisms of immune cell-specific activation, cytokine production, exhaustion and apoptosis in COVID-19 patients before and after BTK inhibition.|3. Transcriptional, chromatin, and epigenetic profiling of immune cells at the single cell level in COVID-19 patients before and after BTK inhibition.|4. Longitudinal evaluation of TCR and BCR repertoire development in COVID-19 patients before and after BTK inhibition.|5. Characterization of SARS- CoV-2 serological responses in COVID-19 patients with and without BTK inhibition.|6. Characterization of genetic variants that correlate with disease severity and/or response to BTK inhibition treatment.|7. Evaluation of soluble biomarkers as surrogate markers of hyper- inflammation/prognosis and of response to BTK inhibition therapy in COVID-19 patients",National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,160.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,999920114|20-I-N114,"May 28, 2020","April 30, 2023","April 30, 2023","May 20, 2020",,"May 25, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States|Walter Reed National Medical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04394884,"
INCLUSION CRITERIA:
",,"
Ability to provide informed consent, and
Men and women >=18 years of age at the time of signing the informed consent form, and
Diagnosis of COVID-19 in hospitalized patients with hypoxemia (SpO2 less than or equal to 94% on room air), with plan to receive or not receive BTK inhibition for clinical or for external research study purposes, or
Does not have COVID-19 and does have plan to receive BTK inhibition therapy for a clinical indication other than COVID-19 (either hospitalized or not).
",
590,590,591,NCT04348240,Transmissibility and Viral Load of SARS-CoV-2 in Oral Secretions,,Recruiting,No Results Available,COVID-19,,To determine SARS-CoV-2 viral load and infectivity in saliva that may contribute to asymptomatic transmission,National Institute of Dental and Craniofacial Research (NIDCR)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,60.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,200094|20-D-0094,"April 16, 2020","July 1, 2020","July 1, 2020","April 16, 2020",,"May 21, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04348240,"
INCLUSION CRITERIA:
",,"
Willing and able to sign and date the informed consent form
Willing to comply with all study procedures and available for study visits and calls
Male or female, aged >= 18 years of age
Persons who test COVID-19 positive (verbal confirmation followed by documented test results, sent electronically) and are asymptomatic or have mild symptoms (e.g., fever, mild malaise, sore throat or sneezing) individuals who have re-tested and are negative may be enrolled to understand progression and resolution of disease; persons hospitalized at the NIH Clinical Center meeting Inclusion Criteria 1-3 may be enrolled on this study
Persons considered high risk for COVID-19 due to personal contact within the past 7 days with a COVID-19 positive individual (e.g., co-habitating family member of COVID-19 positive) and has no symptoms or mild symptoms of COVID-19 - verbal confirmation followed by documented test results of positive individual, sent electronically
",
