,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
1328,1328,1329,Viral Infections in Healthy and Immunocompromised Hosts,Recruiting,No Results Available,Herpes Viruses,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT01306084,"

INCLUSION CRITERIA:


The protocol is open to people of all ages:
i. Only patients greater than or equal to 2 years of age can be enrolled at the Clinical Center
ii. Patients who are < 2 years old may be enrolled only remotely and will not be seen at the Clinical Center.

Must have (or be suspected of having) a viral infection, that is of interest to LID investigators. Alternatively, must be a close contact of someone who has (or is suspected of having) a viral infection that is of interest to LID investigators.
Adults who are unable to provide initial consent may be enrolled providing procedures per Human Research Protections Program (HRPP) standard operation procedure (SOP) 14E have been followed.


",,"
Patients who are unable to safely undergo study procedures and tests.

Patients unwilling to have samples collected and stored for future use.
INCLUSION OF VULNERABLE PARTICIPANTS:
-Children:
Children younger than 2 years of age will be enrolled only remotely from non-NIH medical facilities and will not be seen at the Clinical Center, because children of this age are susceptible to viral infections, some of which are more likely to occur in this very young population or could be more severe. Title 45 of the United States Code of Federal Regulations (CFR) Part 46 Subpart D and (OHRSPHRPP SOP 14D) will be followed to comply with research involving children. The proposed research poses a risk no greater than that encountered with blood tests or other minimally invasive tests ordered as part of a routine history and physical examination. The PI will ensure that appropriate permission from each child s parent(s) or guardian has been obtained for participation in this study.
-Pregnant Women:
Pregnant women are eligible to participate in this study as they are susceptible to viral infections, some of which may be more severe in this patient population. This study provides an opportunity to learn more about viral infections in pregnant women. This information may be meaningful in informing disease severity, clinical practice for treating pregnant women, or in leading to new treatments for this population. This information cannot be gained without the participation of pregnant women. The primary procedure performed under this protocol is a blood draw but other procedures may be performed and are considered minimal risk in clinical practice. No procedures that would affect a developing fetus or affect a baby through breastfeeding are performed in the protocol.
-Decisionally Impaired Adults:
Adults who are unable to provide initial informed consent are eligible to enroll. Also adults who lose the ability to provide on-going consent subsequent to giving initial consent may continue to participate. These adults are susceptible to viral infections and we can learn about viral infections that may occur in this population. Institutionalized adults will not be enrolled. The procedures utilized are clinically considered to be of minimal risk

",
35,35,36,SARS-COV2 Pandemic Serosurvey and Blood Sampling,Recruiting,No Results Available,SARS-COV2 Virus,,"University of Alabama, Birmingham, Alabama, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04334954,"

INCLUSION CRITERIA:

>= 18 years of age.
Willing and able to complete a verbal telephone consent.
Willing to undergo one blood draw or home blood sampling.
Willing to have blood samples stored for future research.


",,"
Confirmed history of COVID19 infection or exposure
Current symptoms consistent with COVID19 infection
Any condition or event that, in the PI s opinion, may substantially increase the risk associated with study participation or compromise the study's scientific objectives. Conditions that exclude a subject are considered to be unlikely, but an example would include having an acute respiratory infection or recent exposure that would prevent participants that would make it unsafe to obtain blood samples.
Not willing to have blood samples stored for future research.
",
1136,1136,1137,"Safety, Tolerability, and Pharmacokinetics of SAB-301 in Healthy Adults",Completed,Has Results,Middle East Respiratory Syndrome Coronavirus,Biological: SAB-301|Other: Normal (9%) Saline,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT02788188,"

INCLUSION CRITERIA:

Age greater than or equal to 18 years and less than or equal to 60 years
Body mass index (BMI) of 19-32 kg/m(2)
Estimated glomerular filtration rate greater than or equal to 70 mL/min at screening, calculated using the CKD-EPI formula
Subjects must agree to:



Not take any prescription or OTC medications with the exception of acetaminophen, ibuprofen, vitamins, seasonal allergy medications, and/or contraceptive medications for a period 7 days prior to study drug administration (i.e., Day 0)
5. One of the following in order to avoid pregnancy:

Females who are able to become pregnant (i.e., are not postmenopausal, have not undergone surgical sterilization, and are sexually active with men) must agree to use at least 2 effective forms of contraception from the date of the subject s signing of the informed consent form through 60 days after the last dose of study drug. At least one of the methods of contraception should be a barrier method.
Males who have not undergone surgical sterilization and are sexually active with women must agree to use condoms plus have a partner use at least one additional effective form of contraception from the date of the subject s signing of the informed consent form through 60 days after the last dose of study drug.
",,"
Any history of allergy, anaphylaxis, or severe reaction to beef products (including milk and gelatin)
Any history of allergy, anaphylaxis, or severe reaction to IGIV or human blood products
Any chronic medical problem that requires daily oral medications (except Tylenol, ibuprofen, oral contraceptives, vitamins, and seasonal allergy medications).
History of cardiovascular disease, cardiomyopathy, heart failure, or unexplained syncope
Subjects that have had confirmed MERS
Women who are breast-feeding
Positive urine or serum pregnancy test

Abnormal chemistry panel
-defined as any clinically significant baseline Grade 1 or greater toxicity, or any Grade 3 or greater toxicity (regardless of clinical significance) by the toxicity table
--evaluating only sodium (Na), potassium (K), serum bicarbonate (total CO2), blood urea nitrogen (BUN), creatinine, glucose, asp (ALT), aspartate aminotransferase (AST), total bilirubin, lactate dehydrogenase (LDH), and estimated glomerular filtration rate (GFR) by the CKD-EPI equation.


Abnormal complete blood count (CBC)
-defined as any clinically significant baseline Grade 1 or greater toxicity, or any Grade 3 or greater toxicity (regardless of clinical significance) by the toxicity table--evaluating only the WBC (to include absolute neutrophil, lymphocyte, and eosinophil counts), hemoglobin, hematocrit, and platelets.


Abnormal urinalysis
-defined as any clinically significant baseline Grade 1 or greater toxicity--evaluating only protein, and RBCs

Positive rheumatoid factor
IgA deficiency (defined as IgA < 7 mg/dL)
Participation in another research study with receipt of any investigational drug within 5 half-lives or 30 days, whichever is longer, prior to study drug administration (i.e., Day 0) and until completion of the study
Participation in any other research study for 30 days after study drug administration
Receipt of blood products within 2 months prior to study drug administration (i.e. Day 0)
Receipt of any vaccination within 30 days prior to study drug administration (i.e. Day 0)
Any acute or chronic condition that, in the opinion of the Investigator, would limit the subject s ability to complete and/or participate in this clinical study
",
1248,1248,1249,COVID-19 Associated Lymphopenia Pathogenesis Study in Blood (CALYPSO),Recruiting,No Results Available,Corona Virus Disease 2019,,"MedStar Georgetown University Hospital, Washington, District of Columbia, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04401436,"

INCLUSION CRITERIA:

Aged >=18 years.
Diagnosis of COVID-19 via molecular assay or other commercial or public health assay.

Meets one of the following criteria for COVID-19:

Group A, mild clinical presentation: asymptomatic to oxygen requirements <-4L nasal cannula (NC).
Group B, moderate clinical presentation: oxygen requirements >4L NC to <=50% fraction of inspired oxygen (FiO2) on high-flow oxygen devices.
Group C, severe clinical presentation: non-invasive ventilation with oxygen requirements >50% FiO2 on high-flow oxygen devices, any other modality of non-invasive ventilation, or mechanical ventilation.
Group D, recovered: meets CDC criteria for discontinuation of transmission-based precautions by either test-based strategy (resolution of fever, improvement in respiratory symptoms, negative results of an FDA emergency use authorized COVID-19 molecular assay from at least two consecutive nasopharyngeal swab specimens collected >= 24 hours apart) or non test-based strategy (ie, at least 3 days have passed since recovery [defined as resolution of fever and improvement in respiratory symptoms] and at least 7 days have passed since symptoms first appeared). Enrollment will occur after 30-60 days after the above criteria were met.


Able to provide informed consent.


",,Individuals meeting any of the following criteria will be excluded from study participation:,"Documented history of hemoglobin from most recent blood draw <7g/dL if known.
Any condition that, in the opinion of the investigator, contraindicates participation in this study."
1286,1286,1287,COVID-19 Pandemic Impact on Alcohol (PIA) - A Natural History Study,Recruiting,No Results Available,Alcohol Drinking|Alcohol-Related Disorders|Pandemic|Psychological Stress,,"NIAAA Section on Human Psychopharmacology, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04391816,"

INCLUSION CRITERIA:

Participants who have enrolled in the NIAAA Screening Protocol (14-AA-0181) and completed screening and phenotyping assessments.
Willing and able to complete frequent (weekly to monthly) surveys either online or by phone.


",,"As this is a natural history protocol, there are no formal exclusionary criteria for this study. Participants who are determined by the interviewer to be uncooperative or unable to provide consent via telephone will not be enrolled into the study.",
675,675,676,Clinical Efficacy of Nafamostat Mesylate for COVID-19 Pneumonia,Not yet recruiting,No Results Available,Corona Virus Infection|COVID-19,Drug: Nafamostat Mesylate,,https://ClinicalTrials.gov/show/NCT04418128,"

Inclusion Criteria:

18 years old or older

Patients who have been confirmed of COVID-19 infection and has evidence for pneumonia

Confirmation of COVID-19 infection by RT-PCR of SARS-CoV-2
Definite diagnosis of new infiltration of the lungs by chest CT scan of chest radiographic inspection


Patients who are within 72 hours of COVID-19 pneumonia confirmation

Patients with 3(hospitalization, not requiring supplemental oxygen) or higher in seven-category ordinal scale of clinical status


Seven-category ordinal scale of clinical status

not hospitalized with resumption of normal activities;
not hospitalized, but unable to resume normal activities;
hospitalization, not requiring supplemental oxygen;
hospitalization, requiring supplemental oxygen;
hospitalization, requiring nasal high-flow oxygen therapy and/or noninvasive mechanical ventilation;
hospitalization, requiring extracorporeal membrane oxygenation and/or invasive mechanical ventilation;
death.




Patients who are eligible for diagnosis/evaluation to chest CT scan and related to it
Patients should be able to understand the essence of the clinical trial and to submit a written consent document. For the patients who can understand the nature of the research but cannot sign the document, a relative can agree to the study.



Exclusion Criteria:

Patients who have a record of HIV or AIDS
Female patients, either who are pregnant within 6 months before the investigation, who breast-fed babies within 3 months before the investigation, or who may get pregnant or breast-feed within 1 month after the investigation is over
Patients at high risk of death within 3 days of randomized assignment, by the judge of the investigator
Patients with liver cirrhosis whose Child-Puch score is B or C
Patients who have liver disease abnormalities with ALT or AST > 5 times ULN
Patients who can be in danger or who shows clinically-important other conditions which may interfere with the evaluation or completion of the test procedure, as the investigator's opinion
Patients who are not appropriate for the test, as the investigator's opinion
Patients who have hypersensitivity to the investigational drug


",,,
776,776,777,Microvascular Flow and Reactivity in Patients Presenting in the Acute Phase of COVID-19.,Recruiting,No Results Available,Coronavirus Infection|Endothelial Dysfunction|Microvascular Rarefaction,Other: evaluation of skin microvascular flow and reactivity,"National Institute of Cardiology, Rio de Janeiro, Brazil",https://ClinicalTrials.gov/show/NCT04406545,"
Age> 18 years admitted to the hospital
SARS-CoV-2 positive real-time PCR molecular test
",,"
Presence of non-COVID infection with systemic and microbiologically documented repercussions.
",
853,853,854,Genetics of COVID-19 Susceptibility and Manifestations,Recruiting,No Results Available,COVID-19|Coronavirus 2019,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04371432,"
INCLUSION CRITERIA
FOR Cohort 1 (Existing NIH Clinical Center Patient/Participants invited to participate by their NIH study team) and Cohort 2 (Individuals recruited through NIH Occupational Medicine Services (OMS) invited to participate by OMS)
Positive test for SARS-CoV-2 virus infection
Weight greater than or equal to 10 kg
Age greater than or equal to 3 years old
",,-Individuals invited to participate for whom we cannot consent for participation in a language offered by our existing interpretation service.,
1,1,2,Investigating Severe Acute Respiratory Syndrome (SARS),Completed,No Results Available,SARS Virus,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00066209,"
INCLUSION CRITERIA - CASES:
",,Newly identified patients found to have recovered from SARS can also be enrolled.,
29,29,30,Evaluation and Treatment of Severe Acute Respiratory Syndrome (SARS),Withdrawn,No Results Available,Severe Acute Respiratory Syndrome,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00073086,"
INCLUSION CRITERIA:
",,"

One of the following:
Travel within 10 days of onset of symptoms to an area with documented or suspected community transmission of SARS (as continually defined by the WHO and/or CDC)
OR
Close contact within 10 days of onset of symptoms with a person known to be a suspect SARS case.
Close contact is defined as having cared for, having lived with, or having direct contact with respiratory secretions and/or body fluids of a patient known to be suspect SARS case.
AND


Measured temperature greater than 100.4(Degree)F (greater than 38(Degree) C)
AND


Evidence of an acute respiratory illness as manifested by one of the following:
Cough: shortness of breath, difficulty breathing, hypoxia
AND


Radiographic evidence of pneumonia or ARDS
AND


Clinically stable for transfer to the Clinical Center
AND

The ability to understand and willingness to sign a written consent form or in cases of 1) a minor, 2) temporary incompetence due to severe illness, or 3) permanent incompetence due to a chronic condition, informed consent may be signed by a legal guardian or appropriate proxy.
",
